Name,ID,Pos,Squad,Min
Abbott George,56628958,"['LB', 'RB', 'LB', 'RB', 'LB', 'LB', 'LB', 'CM', 'DM']","['Tottenham', 'Tottenham Hotspur']",692.0
Adaramola Omotayo,c150b220,"['LM', 'RB', 'CB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LM', 'LM', 'LM', 'LM', 'LM', 'LB', 'DM', 'DM', 'LM', 'LB', 'LB', 'LB']","['Crystal Palace', 'Coventry City']",2209.0
Adingra Simon,4dcec659,"['FW', 'FW', 'WB', 'FW', 'FW', 'FW', 'FW', 'FW', 'CB', 'WB', 'FW', 'WB', 'WB', 'FW', 'FW', 'WB', 'LB', 'WB', 'FW', 'WB', 'FW', 'WB', 'WB', 'WB', 'WB', 'LB', 'LW', 'WB', 'FW', 'WB', 'WB', 'WB', 'WB', 'WB', 'LW', 'WB', 'WB', 'WB', 'FW', 'FW', 'FW', 'WB', 'LW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'LW', 'FW', 'RW', 'RW', 'RM', 'RW', 'LW', 'RW', 'RM', 'RW', 'RW', 'WB', 'RW', 'RM', 'LW', 'RM', 'RW', 'RW', 'LW', 'LW', 'RW', 'RW', 'RW', 'RM', 'LW', 'RM', 'RM', 'RW', 'RW', 'AM', 'RW', 'RW']","[""ci Côte d'Ivoire"", 'be Union SG', 'Union SG', 'Brighton', 'eng Brighton']",4453.0
Aguerd Nayef,288e1e13,"['CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB']","['West Ham', 'eng West Ham', 'ma Morocco']",5419.0
Ahamada Naouirou,a6c58494,"['CM', 'CM', 'CM', 'DM', 'CM', 'LM', 'LW', 'CM', 'CM', 'CM', 'DM', 'LM', 'CM', 'CM', 'CM', 'CM', 'CM', 'RM', 'CM', 'CM', 'RM', 'RM', 'DM', 'RW', 'FW', 'RM', 'RM', 'DM', 'AM', 'RW', 'LM', 'LW', 'AM', 'LW', 'DM', 'AM', 'LW', 'RM', 'CM', 'LW', 'AM', 'LM', 'CM', 'DM', 'LM']","['Stuttgart', 'Crystal Palace']",1742.0
Ajer Kristoffer,a8c0acb7,"['CB', 'RB', 'CB', 'RB', 'CB', 'CB', 'RB', 'RB', 'CB', 'CB', 'CB', 'CB', 'CB', 'RB', 'RB', 'CB', 'RB', 'CB', 'CB', 'RB', 'CB', 'RB', 'RB', 'CB', 'RM', 'LB', 'CB', 'RB', 'CB', 'CB', 'CB']","['no Norway', 'Brentford']",2138.0
Akanji Manuel,89ac64a6,"['CB', 'CB', 'CB', 'RB', 'CB', 'CB', 'RB', 'CB', 'CB', 'CB', 'RB', 'RB', 'CB', 'CB', 'CB', 'CB', 'CB', 'RB', 'CB', 'CB', 'CB', 'RB', 'CB', 'CB', 'CB', 'LB', 'RB', 'RB', 'CB', 'RB', 'LB', 'LB', 'RB', 'CB', 'LB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'WB', 'CB', 'LB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'DM', 'DM', 'CB', 'CB', 'RB', 'RB', 'CB', 'CB', 'LB', 'LB', 'CB', 'RB', 'CB', 'CB', 'CB', 'RB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'DM', 'DM', 'DM', 'DM', 'CB', 'LB', 'CB', 'CB', 'CB', 'CB', 'DM', 'DM', 'CB', 'RB', 'CB', 'CB', 'CB', 'DM', 'RB', 'CB']","['eng Manchester City', 'Manchester City', 'ch Switzerland']",7020.0
Aké Nathan,eaeca114,"['CB', 'CB', 'CB', 'CB', 'LB', 'LM', 'CB', 'LB', 'CB', 'CB', 'CB', 'LB', 'LB', 'CB', 'LB', 'LB', 'CB', 'LB', 'LB', 'LB', 'CB', 'LB', 'CB', 'LB', 'RW', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'LB', 'LB', 'CB', 'CB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'CB', 'CB', 'LB', 'LB', 'LB', 'LB', 'CB', 'CB', 'CB', 'LB', 'LB', 'CB', 'LB', 'CB', 'CB', 'CB', 'CB', 'CB', 'LB', 'CB', 'CB', 'CB', 'CB', 'LB', 'DM', 'CB', 'CB']","['nl Netherlands', 'eng Manchester City', 'Manchester City']",5567.0
Alcántara Thiago,77e84962,"['LM', 'LM', 'DM', 'CM', 'LM', 'DM', 'CM', 'CM', 'LM', 'LM', 'LM', 'LM', 'LM', 'LM', 'AM', 'LM', 'LM', 'LM', 'CM', 'LM', 'RM', 'CM', 'CM', 'RM', 'CM', 'LM', 'LM', 'DM', 'CM', 'LM', 'CM', 'CM', 'CM', 'CM']","['eng Liverpool', 'Liverpool']",1955.0
Alex John Kyle,c9093a1a,"['RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'DM', 'RB', 'RB', 'CB', 'RB', 'RB', 'RB', 'FW', 'LB', 'DM', 'LB']",['Everton'],1574.0
