Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,PassAtt,Cmp%,PassTotDist,PassPrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,PassFinThird,PPA,CrsPA,PrgP,ID,SCA,PassLiveShot,PassDeadShot,TO,ShLSh,Fld,DefShot,GCA,PassLiveGoal,PassDeadGoal,TO.1,ShGoal,FldGoal,DefGoal,Tkl,TklW,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTackled,DribContest,DribTackled%,Lost,Blocks,BlockSh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,TouchDef3rd,TouchMid3rd,TouchAtt3rd,AttPen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,CarriesFinThird,CPA,Mis,Dis,Rec,PrgR,Gls,PK,PKatt,Sh,SoT,CrdY,CrdR,xG,npxG,xAG,PrgP,PrgC
2022-08-06,Messi Lionel,Matchweek 1,Away,W 5–0,Paris S-G,Clermont Foot,Y,FW,90.0,55.0,68.0,80.9,854.0,356.0,27.0,30.0,90.0,14.0,18.0,77.8,9.0,9.0,100.0,1.0,0.7,0.6,4.0,8.0,5.0,0.0,14.0,d70ce98e,11.0,7.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,82.0,0.0,1.0,45.0,37.0,9.0,82.0,8.0,6.0,75.0,2.0,25.0,66.0,403.0,223.0,7.0,4.0,2.0,2.0,1.0,63.0,12.0,2.0,0.0,0.0,6.0,4.0,0.0,0.0,1.4,1.4,0.7,14.0,7.0
2022-08-13,Messi Lionel,Matchweek 2,Home,W 5–2,Paris S-G,Montpellier,Y,AM,90.0,56.0,68.0,82.4,918.0,361.0,28.0,32.0,87.5,21.0,23.0,91.3,5.0,10.0,50.0,0.0,0.1,0.6,1.0,11.0,2.0,0.0,14.0,d70ce98e,5.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,50.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,83.0,0.0,0.0,33.0,50.0,3.0,83.0,5.0,4.0,80.0,1.0,20.0,63.0,353.0,138.0,3.0,3.0,1.0,4.0,1.0,63.0,4.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.4,0.4,0.1,14.0,3.0
2022-08-21,Messi Lionel,Matchweek 3,Away,W 7–1,Paris S-G,Lille,Y,AM,90.0,49.0,64.0,76.6,811.0,376.0,27.0,32.0,84.4,13.0,17.0,76.5,6.0,7.0,85.7,1.0,0.5,0.6,4.0,8.0,5.0,1.0,12.0,d70ce98e,6.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,1.0,2.0,38.0,33.0,6.0,72.0,4.0,2.0,50.0,1.0,25.0,66.0,345.0,165.0,4.0,3.0,1.0,1.0,1.0,63.0,7.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.6,0.6,0.5,12.0,4.0
2022-08-28,Messi Lionel,Matchweek 4,Home,D 1–1,Paris S-G,Monaco,Y,AM,86.0,43.0,52.0,82.7,617.0,217.0,27.0,32.0,84.4,11.0,13.0,84.6,3.0,5.0,60.0,0.0,0.0,0.2,1.0,7.0,4.0,0.0,9.0,d70ce98e,4.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,62.0,0.0,0.0,32.0,30.0,2.0,62.0,7.0,4.0,57.1,2.0,28.6,59.0,364.0,232.0,3.0,4.0,0.0,0.0,4.0,58.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,9.0,3.0
2022-08-31,Messi Lionel,Matchweek 5,Away,W 3–0,Paris S-G,Toulouse,Y,AM,82.0,56.0,72.0,77.8,722.0,293.0,36.0,38.0,94.7,12.0,17.0,70.6,3.0,7.0,42.9,2.0,0.8,0.8,4.0,10.0,6.0,0.0,10.0,d70ce98e,8.0,5.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,2.0,43.0,36.0,6.0,81.0,6.0,3.0,50.0,3.0,50.0,70.0,291.0,116.0,3.0,1.0,1.0,0.0,4.0,71.0,10.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.9,0.9,0.8,10.0,3.0
2022-09-03,Messi Lionel,Matchweek 6,Away,W 3–0,Paris S-G,Nantes,Y,FW,90.0,73.0,91.0,80.2,1156.0,402.0,41.0,47.0,87.2,24.0,27.0,88.9,6.0,10.0,60.0,2.0,0.7,1.2,4.0,9.0,11.0,0.0,20.0,d70ce98e,6.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,1.0,44.0,63.0,15.0,107.0,15.0,10.0,66.7,5.0,33.3,92.0,584.0,278.0,6.0,6.0,3.0,2.0,2.0,92.0,11.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.5,0.5,0.7,20.0,6.0
2022-09-10,Messi Lionel,Matchweek 7,Home,W 1–0,Paris S-G,Brest,Y,AM,90.0,56.0,73.0,76.7,911.0,370.0,24.0,30.0,80.0,20.0,24.0,83.3,6.0,8.0,75.0,1.0,0.4,0.7,4.0,9.0,6.0,0.0,13.0,d70ce98e,9.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,88.0,1.0,1.0,49.0,39.0,6.0,88.0,6.0,2.0,33.3,2.0,33.3,69.0,374.0,170.0,1.0,6.0,0.0,3.0,1.0,72.0,6.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.8,0.8,0.4,13.0,1.0
2022-09-18,Messi Lionel,Matchweek 8,Away,W 1–0,Paris S-G,Lyon,Y,AM,90.0,60.0,69.0,87.0,925.0,291.0,34.0,36.0,94.4,18.0,20.0,90.0,5.0,7.0,71.4,0.0,0.3,0.2,2.0,6.0,4.0,0.0,9.0,d70ce98e,7.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,85.0,0.0,5.0,50.0,32.0,7.0,85.0,7.0,5.0,71.4,2.0,28.6,69.0,410.0,165.0,6.0,6.0,1.0,2.0,0.0,67.0,6.0,1.0,0.0,0.0,7.0,4.0,0.0,0.0,0.7,0.7,0.3,9.0,6.0
2022-10-01,Messi Lionel,Matchweek 9,Home,W 2–1,Paris S-G,Nice,Y,AM,87.0,36.0,45.0,80.0,654.0,223.0,14.0,17.0,82.4,17.0,18.0,94.4,5.0,7.0,71.4,0.0,0.1,0.4,1.0,8.0,3.0,0.0,10.0,d70ce98e,6.0,4.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,5.0,32.0,20.0,4.0,54.0,8.0,5.0,62.5,2.0,25.0,47.0,348.0,154.0,4.0,4.0,0.0,3.0,3.0,44.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.3,0.3,0.1,10.0,4.0
2022-10-16,Messi Lionel,Matchweek 11,Home,W 1–0,Paris S-G,Marseille,Y,FW,78.0,32.0,37.0,86.5,571.0,299.0,15.0,19.0,78.9,12.0,12.0,100.0,5.0,6.0,83.3,0.0,0.2,0.5,3.0,5.0,8.0,0.0,10.0,d70ce98e,9.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,50.0,0.0,6.0,16.0,28.0,5.0,50.0,5.0,1.0,20.0,3.0,60.0,45.0,305.0,168.0,5.0,4.0,3.0,0.0,4.0,45.0,8.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.5,0.5,0.2,10.0,5.0
