Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,PassAtt,Cmp%,PassTotDist,PassPrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,PassFinThird,PPA,CrsPA,PrgP,ID,SCA,PassLiveShot,PassDeadShot,TO,ShLSh,Fld,DefShot,GCA,PassLiveGoal,PassDeadGoal,TO.1,ShGoal,FldGoal,DefGoal,Tkl,TklW,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTackled,DribContest,DribTackled%,Lost,Blocks,BlockSh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,TouchDef3rd,TouchMid3rd,TouchAtt3rd,AttPen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,CarriesFinThird,CPA,Mis,Dis,Rec,PrgR,Gls,PK,PKatt,Sh,SoT,CrdY,CrdR,xG,npxG,xAG,PrgP,PrgC
2022-07-02,Valdés Diego,Apertura 2022 Regular Season,Home,D 0–0,América,Atlas,Y,AM,90,28,37,75.7,464,122,13,15,86.7,13,14,92.9,2,5,40.0,0,0.3,0.2,4,5,2,0,9,e3cae82a,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,2,4,50.0,2,1,0,1,0,2,1,0,54,1,3,25,26,1,54,5,1,20.0,4,80.0,29,217,120,3,2,0,5,2,44,5,0,0,0,2,0,0,0,0.1,0.1,0.3,9,3
2022-09-30,Valdés Diego,Apertura 2022 Regular Season,Away,W 2–1,América,Puebla,N,AM,31,13,16,81.3,245,54,6,6,100.0,4,4,100.0,3,4,75.0,0,0.0,0.0,0,1,0,0,3,e3cae82a,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,3,12,7,2,22,1,1,100.0,0,0.0,13,54,34,0,0,0,1,1,13,1,0,0,0,2,0,0,0,0.1,0.1,0.0,3,0
2022-09-17,Valdés Diego,Apertura 2022 Regular Season,Home,W 2–1,América,Guadalajara,Y,AM,88,29,37,78.4,564,178,11,13,84.6,14,15,93.3,4,8,50.0,0,0.8,0.3,2,3,2,0,8,e3cae82a,5,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0.0,1,1,1,0,1,2,1,0,43,2,5,23,15,1,43,0,0,0,0,0,17,66,45,1,1,0,1,3,29,7,0,0,0,3,2,0,0,0.2,0.2,0.8,8,1
2022-09-14,Valdés Diego,Apertura 2022 Regular Season,Home,D 3–3,América,Santos,Y,AM,65,21,27,77.8,414,99,12,15,80.0,3,6,50.0,6,6,100.0,0,0.0,0.0,0,4,1,0,8,e3cae82a,7,5,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,40,0,3,13,25,3,40,0,0,0,0,0,30,148,79,2,1,0,1,1,32,7,0,0,0,7,3,0,0,0.4,0.4,0.0,8,2
2022-09-06,Valdés Diego,Apertura 2022 Regular Season,Home,W 3–0,América,Atlético,Y,AM,67,32,41,78.0,730,275,9,10,90.0,14,15,93.3,9,15,60.0,1,0.5,0.3,6,7,3,0,10,e3cae82a,10,4,4,1,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,49,0,1,32,17,3,49,3,1,33.3,1,33.3,28,185,148,6,2,1,1,1,33,5,1,0,0,4,3,0,0,0.3,0.3,0.5,10,6
2022-08-26,Valdés Diego,Apertura 2022 Regular Season,Away,W 3–1,América,Mazatlán,Y,AM,77,25,29,86.2,443,118,11,13,84.6,12,13,92.3,2,2,100.0,0,0.1,0.1,2,6,0,0,5,e3cae82a,5,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,38,1,1,19,18,1,38,0,0,0,0,0,24,124,61,2,1,0,2,1,32,4,1,0,0,4,1,0,0,0.2,0.2,0.1,5,2
2022-08-23,Valdés Diego,Apertura 2022 Regular Season,Away,W 1–0,América,Querétaro,Y,AM,90,45,58,77.6,887,353,18,19,94.7,19,24,79.2,7,13,53.8,0,0.1,0.6,3,7,4,0,15,e3cae82a,7,6,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,2,50.0,1,0,0,0,1,2,0,0,73,0,4,33,37,6,73,6,0,0.0,5,83.3,43,246,119,2,4,1,0,0,53,4,0,0,0,5,2,0,0,0.4,0.4,0.1,15,2
2022-08-20,Valdés Diego,Apertura 2022 Regular Season,Home,W 7–0,América,Cruz Azul,Y,AM,75,43,48,89.6,737,111,22,23,95.7,17,19,89.5,4,5,80.0,1,0.2,0.0,2,9,0,0,6,e3cae82a,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,53,0,1,26,27,0,53,0,0,0,0,0,39,214,114,3,3,0,2,0,46,2,1,0,0,2,1,0,0,0.1,0.1,0.2,6,3
2022-09-03,Valdés Diego,Apertura 2022 Regular Season,Home,W 2–1,América,UANL,Y,AM,90,47,50,94.0,807,173,16,16,100.0,26,28,92.9,2,3,66.7,0,0.5,0.6,5,8,4,0,13,e3cae82a,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,0,60,3,8,31,21,0,60,1,0,0.0,0,0.0,32,116,69,1,3,0,2,3,46,6,0,0,0,2,0,0,0,0.0,0.0,0.5,13,1
2022-08-13,Valdés Diego,Apertura 2022 Regular Season,Away,W 3–0,América,UNAM,Y,AM,90,26,36,72.2,431,110,13,17,76.5,7,8,87.5,3,6,50.0,0,0.0,0.1,0,1,0,0,2,e3cae82a,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0.0,3,0,0,0,0,1,1,0,46,0,3,24,20,6,46,4,2,50.0,2,50.0,30,144,47,1,2,1,3,1,38,3,1,0,0,3,1,0,0,0.8,0.8,0.0,2,1
