id,name
00242b75,Leandro-Barreiro-Martins
00459419,Marko-Arnautovic
004d185e,Tete-Morente
0076ab7f,Nemanja-Gudelj
00963611,Konstantinos-Mavropanos
009a4f60,Julian-Ryerson
00a8d210,Przemyslaw-Frankowski
00b28772,Nemanja-Maksimovic
00c9a283,Hugo-Larsson
00eba9c9,Selim-Amallah
0118c54c,Anthony-Caci
014aa7bd,Alvaro-Aguado
016ff750,Valentino-Lazaro
0174ba21,Robin-Hack
01834aa0,Sebastiaan-Bornauw
01a49bd2,Lisandro-Magallan
01c3aff5,Weston-McKennie
01da7812,Myrto-Uzuni
01eb744d,Angel-Correa
01efac19,Antonin-Barak
01fd01e8,Souleymane-Toure
028e70b9,Joshua-Zirkzee
02b29014,Abdoulaye-Doucoure
02c15616,Marcos-Llorente
02caf6e0,Manuel-Lazzari
02d2c436,Luis-Hernandez
02ef8778,Raul-Tomas
0313a347,Ezri-Konsa
036bba5f,Ruben-Alcaraz
0375723e,Simone-Verdi
039f1983,Joseph-Okumu
03f946ed,Andrea-Petagna
0420d84f,Seamus-Coleman
042e8a49,Kingsley-Coman
0442183b,Nathaniel-Clyne
048a1cbc,Raphael-Guerreiro
049a888d,Mykhailo-Mudryk
04ac78d2,Bamo-Meite
04bb2b06,Ibrahima-Kone
04df29a5,Lorenzo-Colombo
04e17fd5,Youssef-En-Nesyri
0512a60a,Ismael-Doukoure
05439de2,David-Alaba
054849d2,Iago-
056269d7,Oscar-Mingueza
0562b7f1,Odsonne-Edouard
056d2d95,Christopher-Trimmel
05d548d8,Mats-Hummels
05e19d6a,Franck-Kessie
05e8ca6d,Cameron-Archer
0630eb63,Nemanja-Radonjic
065dc209,Terem-Moffi
06c48679,Jonathan-Gradit
06df8256,Benoit-Badiashile
06efa9dc,Sergio-Akieme
075fe5a3,Srdan-Babic
07802f7f,Danny-Ings
07c7eb0c,Anthony-Losilla
07d65234,Anass-Zaroury
08511d65,Sergio-Ramos
08eb3b58,Matias-Vina
091c86e2,Felix-Nmecha
0959c2a2,Federico-Valverde
0967845b,Fabiano-Parisi
099e666f,Jonjoe-Kenny
0a084b35,Josip-Juranovic
0a0cc13c,Sergio-Leon
0a3f6cde,Christopher-Antwi-Adjei
0a447501,Antonio-Sanabria
0a483542,Giorgos-Kyriakopoulos
0a89e877,Benjamin-Henrichs
0ab1f153,Juan-Cuadrado
0abc51f2,Jorge-Cuenca
0ae4e09a,Roger-Marti
0b2c8585,Raul-Guti
0b33f6ad,Mohammed-Salisu
0b4f388a,Breel-Embolo
0b5a292a,Mario-Rui
0ba976e4,Ansu-Fati
0bc4e720,Manu-Vallejo
0bdda685,Dexter-Lembikisa
0be95d34,Romain-Del-Castillo
0c61c77c,Dodi-Lukebakio
0c717ae6,Barcia-
0c7a48f8,Piero-Hincapie
0cadc46d,Vedat-Muriqi
0cb29e91,Njegos-Petrovic
0cbc8baa,Jean-Kevin-Duverne
0cd31129,Brennan-Johnson
0cf778df,Chris-Fuhrich
0d7b6576,Elye-Wahi
0d82903c,Alex-Sandro
0d9b2d31,Pedri-
0da6a13e,Theo-Bongonda
0db169ae,Sandro-Tonali
0e0102eb,Omar-Marmoush
0e4fef6e,Lucas-Torro
0e6bc38c,Eric-Maxim-Choupo-Moting
0ed60738,Senne-Lynen
0f134faf,Mathias-Jensen
0f26ffd7,Copete-
0f59a7bf,Anton-Stach
0f8418aa,Ibrahima-Sissoko
0f86995c,Hianga-Mananga-Mbock
0fbecd11,Dominik-Kohr
0ff630d0,Akim-Zedadka
102c9665,Alexsandro-Ribeiro
104b4ad3,Alberth-Elis
10549b49,Sardar-Azmoun
10b9fa99,Ethan-Ampadu
10e7f486,Rogerio-
10f0fdd3,Jean-Ricner-Bellegarde
114bbdee,Loic-Bade
116c35df,Donyell-Malen
119b9a8e,Aymeric-Laporte
11b9265b,Alberto-Moreno
1238a3f9,Davie-Selke
