id,name,similar
00242b75,Leandro-Barreiro-Martins,"['Jens Stage', 'Tomáš Souček', 'Lucas Tousart', 'Anthony Losilla', 'Alexis Blin', 'Gonzalo Escalante', 'Christian Nørgaard', 'Yannick Gerhardt', 'Ryan Yates', 'Ellyes Skhiri']"
00459419,Marko-Arnautovic,"['Anthony Martial', 'Arkadiusz Milik', 'Mikel Oyarzabal', 'Alexis Sánchez', 'Yoane Wissa', 'Antonio Sanabria', 'Ivan Toney', 'Ciro Immobile', 'Jonathan David', 'Jonas Wind']"
004d185e,Tete-Morente,"['Joelinton', 'Javier Guerra', 'Mahdi Camara', 'Kai Havertz', 'Abdoulaye Doucouré', 'Adrien Rabiot', 'Davide Frattesi', 'Isaac Palazón Camacho', 'Mattias Svanberg', 'Kike Pérez']"
0076ab7f,Nemanja-Gudelj,"['Manuel Gulde', 'Chancel Mbemba', 'Philipp Lienhart', 'Eric García', 'Fikayo Tomori', 'Maximiliano Caufriez', 'Marin Pongračić', 'Nico Elvedi', 'Danilho Doekhi', 'Antonio Rüdiger']"
00963611,Konstantinos-Mavropanos,"['Joël Matip', 'Ibrahima Konaté', 'Sinaly Diomande', 'Yunis Abdelhamid', 'Roger Ibanez', 'Gabriel Dos Santos', 'Axel Disasi', 'Danilo Pereira', 'Kevin Danso', 'Piero Hincapié']"
009a4f60,Julian-Ryerson,"['Miguel Gutiérrez', 'Andrea Cambiaso', 'Joakim Mæhle', 'Adrien Truffert', 'Deiver Machado', 'Fran Garcia', 'Dodô', 'Davide Zappacosta', 'Aurélio Buta', 'Darlin Yongwa']"
00a8d210,Przemyslaw-Frankowski,
00b28772,Nemanja-Maksimovic,"['Alexis Blin', 'Eric Martel', 'Ryan Yates', 'Pathé Ciss', 'Tomáš Souček', 'Lucas Torró', 'Patrick Osterhage', 'Nicolas Höfler', 'Bryan Cristante', 'Mikel Vesga']"
00c9a283,Hugo-Larsson,"['Samuele Ricci', 'Hugo Magnetti', 'Nicolò Rovella', 'Kevin Kampl', 'Xavier Chavalerin', 'Martín Zubimendi', 'Tonny Vilhena', 'Étienne Capoue', 'Maximilian Eggestein', 'Gonzalo Melero']"
00eba9c9,Selim-Amallah,"['Jordan Ayew', 'Lee Jae-sung', 'Luiz Henrique', 'Ritsu Doan', 'Gonzalo Plata', 'Lucas Paquetá', 'Harry Wilson', 'Elba Rashani', 'Bobby Reid', 'Jack Harrison']"
0118c54c,Anthony-Caci,
014aa7bd,Alvaro-Aguado,"['Niklas Schmidt', 'Moi Gómez', 'Mateo Kovačić', 'Alfred Duncan', 'Jordan Ferri', 'Samuele Ricci', 'Răzvan Marin', 'Hakan Çalhanoğlu', 'Sandro Tonali', 'Marc Roca']"
016ff750,Valentino-Lazaro,"['Tommaso Augello', 'Theo Hernández', 'Mërgim Vojvoda', 'Andrew Robertson', 'Marcos Acuña', 'Manu Sánchez', 'Raoul Bellanova', 'Christopher Trimmel', 'Alberto Moreno', 'Miguel Gutiérrez']"
0174ba21,Robin-Hack,
01834aa0,Sebastiaan-Bornauw,"['Gautier Lloris', 'Ruan', 'Montassar Talbi', 'Jonathan Tah', 'Guillermo Maripán', 'Jorge Cuenca', 'Marco Friedl', 'Maxence Lacroix', 'Tim Ream', 'Rasmus Nicolaisen']"
01a49bd2,Lisandro-Magallan,"['Jubal', 'Moussa Niakhate', 'Stefan de Vrij', 'Sergi Gómez', 'Flavius Daniliuc', 'Nikola Milenković', 'Moritz Jenz', 'Mateusz Wieteska', 'Oumar Gonzalez', 'Germán Pezzella']"
01c3aff5,Weston-McKennie,"['Ibrahima Sissoko', 'Mikel Vesga', 'Maximilian Eggestein', 'Patrick Osterhage', 'Janik Haberer', 'Morten Frendrup', 'Vincent Sierro', 'Alex Král', 'Ryan Yates', 'Anton Stach']"
01da7812,Myrto-Uzuni,
01eb744d,Angel-Correa,"['Gabriel Jesus', 'Rodrygo', 'Cody Gakpo', 'Kylian Mbappé', 'Alexander Isak', 'Jonathan David', 'Randal Kolo Muani', 'Wissam Ben Yedder', 'Nicolas Jackson', 'Omar Marmoush']"
01efac19,Antonin-Barak,
01fd01e8,Souleymane-Toure,"['Roger Ibanez', 'Samuel Gigot', 'Mohamed Simakan', 'Alessandro Buongiorno', 'Johan Vásquez', 'Danilo', 'Giorgio Scalvini', 'Ben Mee', 'Éder Militão', 'Gerzino Nyamsi']"
028e70b9,Joshua-Zirkzee,"['Alexis Sánchez', 'Gerard Moreno', 'Yussuf Poulsen', 'Grejohn Kyei', 'Iago Aspas', 'Lucas Boyé', 'Manolo Gabbiadini', 'Anthony Martial', 'Cody Gakpo', 'Isaac Success']"
02b29014,Abdoulaye-Doucoure,
02c15616,Marcos-Llorente,
02caf6e0,Manuel-Lazzari,"['Rogério', 'Kyle Walker-Peters', 'Sael Kumbedi', 'Andoni Gorosabel', 'Melvin Bard', 'Thomas Foket', 'Ismaily', 'Kyle Walker', 'Mikkel Desler', 'Giorgos Kyriakopoulos']"
02d2c436,Luis-Hernandez,"['Aïssa Mandi', 'Matija Nastasić', 'Domingos Duarte', 'Federico Baschirotto', 'Stefan Mitrović', 'Dimitris Nikolaou', 'Catena', 'Kevin Vogt', 'Florent Ogier', 'Martin Valjent']"
02ef8778,Raul-Tomas,"['Grejohn Kyei', 'Dušan Vlahović', 'Borja Iglesias', 'Sergio Camello', 'Yoane Wissa', 'Ciro Immobile', 'Luis Javier Suárez', ""M'Bala Nzola"", 'Antonio Sanabria', 'Francesco Caputo']"
0313a347,Ezri-Konsa,
036bba5f,Ruben-Alcaraz,"['Óscar Valentín', 'Oriol Romeu', 'Ylber Ramadani', 'Patrick Osterhage', 'Tom Krauß', 'João Gomes', 'Manuel Locatelli', 'Elvis Rexhbeçaj', 'Dani García', 'João Palhinha']"
0375723e,Simone-Verdi,"['Rony Lopes', 'Isaac Palazón Camacho', 'Eberechi Eze', 'Andrea Colpani', 'Jonathan Ikone', 'Adri Embarba', 'Giacomo Bonaventura', 'Ferrán Torres', 'Morgan Gibbs-White', 'Abdessamad Ezzalzouli']"
039f1983,Joseph-Okumu,"['Willian Pacho', 'Maxence Lacroix', 'Marco Friedl', 'Javi Sánchez', 'Leonardo Balerdi', 'Niklas Stark', 'Ohis Felix Uduokhai', 'Unai Núñez', 'Mika Màrmol', 'Martin Erlic']"
03f946ed,Andrea-Petagna,"['Isaac Success', 'Niclas Füllkrug', 'Yussuf Poulsen', 'Tammy Abraham', 'Sébastien Haller', 'Grejohn Kyei', ""M'Bala Nzola"", 'Luis Javier Suárez', 'Jonas Wind', 'Anthony Martial']"
0420d84f,Seamus-Coleman,"['Mads Roerslev', 'Kiliann Sildillia', 'Gastón Álvarez', 'Tyrick Mitchell', 'Isaac Carcelen', 'Serge Aurier', 'Renan Lodi', 'Jaume Costa', 'Vitaliy Mykolenko', 'Akim Zedadka']"
042e8a49,Kingsley-Coman,"['Gabriel Martinelli', 'Edon Zhegrova', 'Phil Foden', 'Chris Führich', 'Bukayo Saka', 'Raphinha', 'Jack Grealish', 'Rayan Cherki', 'Leroy Sané', 'Khvicha Kvaratskhelia']"
0442183b,Nathaniel-Clyne,"['Adam Smith', 'Juan Cruz Armada', 'Isaac Carcelen', 'Iván Balliu', 'Carlos Neva', 'Luke Thomas', 'Jonas Föhrenbach', 'Óscar Gil', 'Mohamed Youssouf', 'Lukas Kübler']"
048a1cbc,Raphael-Guerreiro,
049a888d,Mykhailo-Mudryk,"['Brennan Johnson', 'Linton Maina', 'Ritsu Doan', 'Abdessamad Ezzalzouli', 'Lameck Banda', 'Moses Simon', 'Jonathan Ikone', 'Luiz Henrique', 'Ludovic Blas', 'Gonzalo Plata']"
04ac78d2,Bamo-Meite,"['Montassar Talbi', 'Abdul Mumin', 'Jonathan Tah', 'Illia Zabarnyi', 'Sebastiano Luperto', 'Tim Ream', 'Srđan Babić', 'Rasmus Nicolaisen', 'Ruan', 'Sebastiaan Bornauw']"
